Date,Not indexed,Indexed,Impressions
2026-03-23,,,415
2026-03-24,174,65,392
2026-03-25,210,66,375
2026-03-26,210,66,315
2026-03-27,210,66,344
2026-03-28,210,66,174
2026-03-29,211,66,421
2026-03-30,211,66,391
2026-03-31,211,66,489
2026-04-01,208,69,354
2026-04-02,208,69,458
2026-04-03,208,69,207
2026-04-04,208,69,179
2026-04-05,208,69,346
2026-04-06,208,69,301
2026-04-07,192,87,364
2026-04-08,192,87,393
2026-04-09,192,87,449
2026-04-10,192,87,376
2026-04-11,181,98,166
2026-04-12,181,98,379
2026-04-13,181,98,365
2026-04-14,180,99,364
2026-04-15,180,99,406
2026-04-16,180,99,566
2026-04-17,180,99,551
2026-04-18,181,103,459
2026-04-19,181,103,703
2026-04-20,181,103,717
2026-04-21,185,100,658
2026-04-22,185,100,622
2026-04-23,185,100,643
2026-04-24,185,100,498
2026-04-25,177,110,506
2026-04-26,177,110,715
2026-04-27,177,110,677
2026-04-28,146,142,1114
2026-04-29,146,142,1641
2026-04-30,146,142,1834
2026-05-01,146,142,1921
2026-05-02,128,170,1914
2026-05-03,128,170,2024
2026-05-04,128,170,2385
2026-05-05,131,180,2448
2026-05-06,131,180,2392
2026-05-07,131,180,2353
2026-05-08,131,180,2268
2026-05-09,123,205,1961
2026-05-10,123,205,2009
2026-05-11,123,205,2145
2026-05-12,101,238,1964
2026-05-13,101,238,1798
2026-05-14,101,238,1894
2026-05-15,101,238,1491
2026-05-16,105,245,931
2026-05-17,105,245,1148
2026-05-18,105,245,1220
2026-05-19,106,253,1123
2026-05-20,106,253,1068
2026-05-21,106,253,917
2026-05-22,106,253,828
2026-05-23,116,259,816
2026-05-24,116,259,1094
2026-05-25,116,259,932
2026-05-26,284,565,1184
2026-05-27,284,565,1226
2026-05-28,284,565,1596
2026-05-29,284,565,1588
2026-05-30,218,685,2430
2026-05-31,218,685,3055
2026-06-01,218,685,2784
2026-06-02,219,689,3290
2026-06-03,219,689,2565
2026-06-04,219,689,2308
2026-06-05,219,689,2008
2026-06-06,206,711,2460
2026-06-07,206,711,2096
2026-06-08,206,711,3196
2026-06-09,178,757,3720
2026-06-10,178,757,3246
2026-06-11,178,757,3195
2026-06-12,178,757,2788