Date,Clicks,Impressions,CTR,Position
2026-03-21,2,220,0.91%,24.8
2026-03-22,2,457,0.44%,26.4
2026-03-23,2,415,0.48%,25.5
2026-03-24,2,392,0.51%,30
2026-03-25,3,375,0.8%,27.7
2026-03-26,5,315,1.59%,32.2
2026-03-27,2,344,0.58%,31.5
2026-03-28,3,174,1.72%,19.8
2026-03-29,0,421,0%,35.2
2026-03-30,3,391,0.77%,26.7
2026-03-31,2,489,0.41%,31.6
2026-04-01,1,354,0.28%,29.7
2026-04-02,0,458,0%,39.6
2026-04-03,0,207,0%,26.7
2026-04-04,1,179,0.56%,23
2026-04-05,0,346,0%,37
2026-04-06,2,301,0.66%,30
2026-04-07,3,364,0.82%,36.1
2026-04-08,3,393,0.76%,30.4
2026-04-09,3,449,0.67%,35.1
2026-04-10,1,376,0.27%,35.9
2026-04-11,0,166,0%,16.3
2026-04-12,3,379,0.79%,37.1
2026-04-13,0,365,0%,25.1
2026-04-14,5,364,1.37%,24.8
2026-04-15,4,406,0.99%,34.7
2026-04-16,4,566,0.71%,33.5
2026-04-17,5,551,0.91%,32.7
2026-04-18,3,459,0.65%,22.6
2026-04-19,1,703,0.14%,28.9
2026-04-20,4,717,0.56%,19.8
2026-04-21,5,658,0.76%,25.2
2026-04-22,4,622,0.64%,17.2
2026-04-23,5,643,0.78%,21.6
2026-04-24,6,498,1.2%,18.3
2026-04-25,2,506,0.4%,11.2
2026-04-26,5,715,0.7%,20.5
2026-04-27,10,677,1.48%,14.7
2026-04-28,9,1114,0.81%,12.6
2026-04-29,6,1641,0.37%,10.5
2026-04-30,7,1834,0.38%,8.5
2026-05-01,8,1921,0.42%,8.7
2026-05-02,13,1914,0.68%,6.1
2026-05-03,2,2024,0.1%,7.9
2026-05-04,6,2385,0.25%,11.6
2026-05-05,14,2448,0.57%,9
2026-05-06,14,2392,0.59%,10.2
2026-05-07,7,2353,0.3%,12
2026-05-08,7,2268,0.31%,7.9
2026-05-09,2,1961,0.1%,9
2026-05-10,5,2009,0.25%,12.2
2026-05-11,12,2145,0.56%,9.9
2026-05-12,11,1964,0.56%,12.3
2026-05-13,11,1798,0.61%,11
2026-05-14,6,1894,0.32%,13.2
2026-05-15,6,1491,0.4%,13.5
2026-05-16,6,931,0.64%,14.1
2026-05-17,10,1148,0.87%,15.2
2026-05-18,15,1220,1.23%,21.4
2026-05-19,15,1123,1.34%,27.1
2026-05-20,13,1068,1.22%,26.4
2026-05-21,14,917,1.53%,22.2
2026-05-22,8,828,0.97%,21.5
2026-05-23,5,816,0.61%,22.4
2026-05-24,12,1094,1.1%,29
2026-05-25,13,932,1.39%,22.4
2026-05-26,7,1184,0.59%,27.9
2026-05-27,6,1226,0.49%,28.2
2026-05-28,10,1596,0.63%,32.4
2026-05-29,5,1588,0.31%,27.4
2026-05-30,13,2430,0.53%,16.6
2026-05-31,11,3055,0.36%,20.1
2026-06-01,23,2784,0.83%,16.9
2026-06-02,22,3290,0.67%,28.3
2026-06-03,24,2565,0.94%,20.6
2026-06-04,15,2308,0.65%,17
2026-06-05,14,2008,0.7%,18.4
2026-06-06,28,2460,1.14%,26.3
2026-06-07,35,2096,1.67%,19.2
2026-06-08,26,3196,0.81%,21.6
2026-06-09,43,3720,1.16%,23.1
2026-06-10,40,3246,1.23%,20.3
2026-06-11,24,3195,0.75%,20.4
2026-06-12,19,2788,0.68%,22.2
2026-06-13,18,2451,0.73%,22.3
2026-06-14,10,1725,0.58%,30.8
2026-06-15,17,2750,0.62%,40.4
2026-06-16,26,3367,0.77%,20.1
2026-06-17,39,3615,1.08%,19.8
2026-06-18,23,3733,0.62%,21.8
2026-06-19,19,2958,0.64%,18.6
2026-06-20,16,2536,0.63%,20.5