ID,Section,File,Field,English,Translation_rule,de,fr,es,pt,ru,zh,ar,de_status,other_langs_status
1,Compliance ribbon,PremiumComplianceRibbon.tsx,badge,EMA Aligned,Expand EMA,Ausgerichtet an der Europäischen Arzneimittel-Agentur,Aligné sur l’Agence européenne des médicaments,Alineado con la Agencia Europea de Medicamentos,Alinhado à Agência Europeia de Medicamentos,Соответствие Европейскому агентству лекарственных средств,符合欧洲药品管理局要求,متوافق مع الوكالة الأوروبية للأدوية,revised-full-native,revised-full-native
2,Compliance ribbon,PremiumComplianceRibbon.tsx,badge,GDPR Compliant,Expand GDPR,Konform mit der Datenschutz-Grundverordnung,Conforme au Règlement général sur la protection des données,Conforme al Reglamento General de Protección de Datos,Em conformidade com o Regulamento Geral de Proteção de Dados,Соответствие Общему регламенту по защите данных,符合《通用数据保护条例》,متوافق مع اللائحة العامة لحماية البيانات,revised-full-native,revised-full-native
3,Compliance ribbon,PremiumComplianceRibbon.tsx,badge,FDA Compliant,Expand FDA (Saudi SFDA context on site),Konform mit der saudi-arabischen Lebensmittel- und Arzneimittelbehörde,Conforme à l’Autorité saoudienne des aliments et des médicaments,Conforme con la Autoridad Saudí de Alimentos y Medicamentos,Em conformidade com a Autoridade Saudita de Alimentos e Medicamentos,Соответствие Управлению по контролю за продуктами и лекарствами Саудовской Аравии,符合沙特阿拉伯食品药品管理局要求,متوافق مع الهيئة العامة للغذاء والدواء في السعودية,revised-full-native,revised-full-native
4,Compliance ribbon,PremiumComplianceRibbon.tsx,badge,MOHAP Compliant,Expand MOHAP,Konform mit dem Gesundheitsministerium der Vereinigten Arabischen Emirate,Conforme au ministère de la Santé des Émirats arabes unis,Conforme con el Ministerio de Salud de los Emiratos Árabes Unidos,Em conformidade com o Ministério da Saúde dos Emirados Árabes Unidos,Соответствие Министерству здравоохранения Объединённых Арабских Эмиратов,符合阿联酋卫生部要求,متوافق مع وزارة الصحة ووقاية المجتمع في الإمارات,revised-full-native,revised-full-native
5,Compliance ribbon,PremiumComplianceRibbon.tsx,badge,GCP Standards,Expand GCP,Standards Guter Klinischer Praxis,Normes de Bonnes Pratiques Cliniques,Estándares de Buenas Prácticas Clínicas,Padrões de Boas Práticas Clínicas,Стандарты Надлежащей клинической практики,良好临床规范标准,معايير ممارسات التصنيع السريري الجيدة,revised-full-native,revised-full-native
6,Hero dashboard,PremiumHeroDashboard.tsx,heading,Market Intelligence Dashboard,No English loanwords,Marktinformations-Dashboard,Tableau de bord d’information marché,Panel de información de mercado,Painel de informações de mercado,Панель рыночной информации,市场信息仪表盘,لوحة معلومات السوق,revised-full-native,revised-full-native
7,Hero dashboard,PremiumHeroDashboard.tsx,status,Live,Translate UI label,Aktuell,En direct,En vivo,Ao vivo,Актуально,实时,مباشر,revised-full-native,revised-full-native
8,Hero dashboard,PremiumHeroDashboard.tsx,callout_value,~$1.8T,Keep numeric,"~1,8 Bio. USD","~1,8 bill. USD","~1,8 bill. USD","~US$ 1,8 tri","~1,8 трln USD",约一点八万亿美元,~١.٨ تريليون دولار,revised-full-native,revised-full-native
9,Hero dashboard,PremiumHeroDashboard.tsx,callout_label,Global Pharma Market (2026E),Pharma → native; E → Prognose,Globaler Arzneimittelmarkt (Prognose 2026),Marché mondial des médicaments (estimation 2026),Mercado farmacéutico global (estimación 2026),Mercado farmacêutico global (estimativa 2026),Глобальный фармацевтический рынок (прогноз 2026),全球医药市场（二〇二六年预测）,السوق الدوائي العالمي (تقدير ٢٠٢٦),revised-full-native,revised-full-native
10,Hero dashboard,PremiumHeroDashboard.tsx,callout_cagr,↑ ~6% CAGR 2024–2026,Expand CAGR,↑ ~6 % durchschnittliche jährliche Wachstumsrate 2024–2026,↑ ~6 % taux de croissance annuel composé 2024–2026,↑ ~6 % tasa de crecimiento anual compuesta 2024–2026,↑ ~6% taxa de crescimento anual composta 2024–2026,↑ ~6% среднегодовой темп роста 2024–2026,↑ 约百分之六复合年增长率 二〇二四至二〇二六,↑ ~٦% معدل النمو السنوي المركب ٢٠٢٤–٢٠٢٦,revised-full-native,revised-full-native
11,Hero dashboard,PremiumHeroDashboard.tsx,legend,Global benchmark,No Benchmark loanword,Globale Referenz,Référence mondiale,Referencia global,Referência global,Глобальный ориентир,全球参照基准,معيار عالمي,revised-full-native,revised-full-native
12,Hero dashboard,PremiumHeroDashboard.tsx,legend,Regional depth,Full translation,Regionale Markttiefe,Profondeur régionale,Profundidad regional,Profundidade regional,Региональная глубина,区域深度,عمق إقليمي,revised-full-native,revised-full-native
13,Hero dashboard,PremiumHeroDashboard.tsx,metric_label,Global Pharma,Pharma → Arzneimittel,Globaler Arzneimittelmarkt,Médicaments — monde,Fármacos — global,Medicamentos — global,Мировые лекарства,全球医药,الأدوية — عالمياً,revised-full-native,revised-full-native
14,Hero dashboard,PremiumHeroDashboard.tsx,metric_sub,2026E market,E → Prognose,Marktprognose 2026,Marché estimé 2026,Mercado estimado 2026,Mercado estimado 2026,Прогноз рынка 2026,二〇二六年预测市场,تقدير السوق ٢٠٢٦,revised-full-native,revised-full-native
15,Hero dashboard,PremiumHeroDashboard.tsx,metric_label,Americas Pharma,Expand region + pharma,Arzneimittelmarkt Amerika,Médicaments — Amériques,Fármacos — Américas,Medicamentos — Américas,Лекарства — Америка,美洲医药市场,الأدوية — الأمريكتان,revised-full-native,revised-full-native
16,Hero dashboard,PremiumHeroDashboard.tsx,metric_label,APAC Pharma,Expand APAC,Arzneimittelmarkt Asien und Pazifik,Médicaments — Asie et Pacifique,Fármacos — Asia y Pacífico,Medicamentos — Ásia e Pacífico,Лекарства — Азия и Тихий океан,亚太医药市场,الأدوية — آسيا والمحيط الهادئ,revised-full-native,revised-full-native
17,Global reach,GlobalReachSection.tsx,signal,6 continents · 38 countries,Full translation,6 Kontinente · 38 Länder,6 continents · 38 pays,6 continentes · 38 países,6 continentes · 38 países,6 континентов · 38 стран,六大洲 · 三十八个国家,٦ قارات · ٣٨ دولة,revised-full-native,revised-full-native
18,Global reach,GlobalReachSection.tsx,signal,Pharma & healthcare — where we lead,No Pharma/Healthcare English,Pharmazeutik und Gesundheitswesen — wo wir führend sind,Médicaments et santé — notre cœur de métier,Medicamentos y sanidad — donde lideramos,Medicamentos e saúde — onde lideramos,Лекарства и здравоохранение — наше ядро,医药与健康 — 我们的核心优势,الأدوية والرعاية الصحية — حيث نتصدر,revised-full-native,revised-full-native
19,Global reach,GlobalReachSection.tsx,signal,Enterprise & consumer research,No B2B shorthand in DE,Forschung für Unternehmen und Verbraucher,Recherche entreprises et consommateurs,Investigación empresarial y de consumo,Pesquisa empresarial e de consumo,Исследования для предприятий и потребителей,企业与消费者研究,أبحاث المؤسسات والمستهلكين,revised-full-native,revised-full-native
20,Global reach,GlobalReachSection.tsx,signal,GDPR · GCP · local regulatory alignment,Expand acronyms,Datenschutz-Grundverordnung · Gute Klinische Praxis · lokale Regulierungskonformität,RGPD · Bonnes Pratiques Cliniques · alignement réglementaire local,RGPD · Buenas Prácticas Clínicas · alineamiento regulatorio local,Proteção de dados · Boas Práticas Clínicas · conformidade regulatória local,Защита данных · Надлежащая клиническая практика · соответствие местным нормам,数据保护条例 · 良好临床规范 · 本地监管合规,حماية البيانات · ممارسات التصنيع السريري · التوافق التنظيمي المحلي,revised-full-native,revised-full-native
21,Industries gateway,IndustriesGatewaySection.tsx,h2,Beyond healthcare — research across industries,Healthcare → Gesundheitswesen,Über das Gesundheitswesen hinaus — Forschung in allen Branchen,Au-delà de la santé — recherche dans tous les secteurs,Más allá de la sanidad — investigación en todos los sectores,Além da saúde — pesquisa em todos os setores,За пределами здравоохранения — исследования во всех отраслях,超越医疗健康 — 跨行业研究,ما وراء الرعاية الصحية — أبحاث في جميع القطاعات,revised-full-native,revised-full-native
22,Industries gateway,IndustriesGatewaySection.tsx,intro,The same sampling discipline and senior-led analysis we built for pharma now extends to B2B and B2C markets.,Pharma/B2B/B2C fully native,"Dieselbe Stichprobenmethodik und von erfahrenen Analysten geleitete Auswertung, die wir für die Pharmaindustrie entwickelt haben, gilt jetzt auch für Geschäfts- und Privatkundenmärkte.","La même rigueur d’échantillonnage et la même analyse pilotée par des experts, développées pour l’industrie pharmaceutique, s’étendent désormais aux marchés entreprises et consommateurs.",La misma disciplina de muestreo y el análisis liderado por expertos que creamos para la industria farmacéutica se extiende ahora a mercados empresariales y de consumo.,A mesma disciplina de amostragem e análise liderada por especialistas que construímos para a indústria farmacêutica agora se estende aos mercados corporativos e de consumo.,"Та же дисциплина выборки и экспертный анализ, созданные для фармацевтики, теперь распространяются на корпоративные и потребительские рынки.",我们在制药行业建立的抽样规范与资深分析师主导的方法，现已延伸至企业市场与消费者市场。,نفس انضباط العيّنة والتحليل بقيادة خبراء كبار الذي بنيناه للصناعة الدوائية يمتد الآن إلى أسواق الشركات والمستهلكين.,revised-full-native,revised-full-native
23,Industries gateway,IndustriesGatewaySection.tsx,stat_label,Projects across industries,Auto-expanded acronyms/loanwords — native review required,Projekte branchenübergreifend,Projets multi-secteurs,Proyectos multisectoriales,Projetos multisectoriais,Проекты по отраслям,跨行业项目,مشاريع عبر القطاعات,carry-forward-review,needs-review
24,Industries gateway,IndustriesGatewaySection.tsx,stat_label,Industry verticals,Auto-expanded acronyms/loanwords — native review required,Branchenvertikalen,Verticales sectorielles,Verticales industriales,Verticais setoriais,Отраслевые вертикали,行业垂直领域,قطاعات صناعية,carry-forward-review,needs-review
25,Industries gateway,IndustriesGatewaySection.tsx,stat_label,GCC/MENA markets with industry pages,Expand GCC + MENA,Märkte des Golf-Kooperationsrats und des Nahen Ostens und Nordafrikas mit Branchenseiten,Marchés du Conseil de coopération du Golfe et du Moyen-Orient et de l’Afrique du Nord avec pages sectorielles,Mercados del Consejo de Cooperación del Golfo y de Oriente Medio y Norte de África con páginas sectoriales,Mercados do Conselho de Cooperação do Golfo e do Oriente Médio e Norte da África com páginas setoriais,Рынки Совета сотрудничества стран Залива и Ближнего Востока и Северной Африки со страницами отраслей,海湾合作委员会与中东和北非市场行业页面,أسواق مجلس التعاون الخليجي والشرق الأوسط وشمال أفريقيا بصفحات قطاعية,revised-full-native,revised-full-native
26,Industries gateway,IndustriesGatewaySection.tsx,link,Explore all industries,Auto-expanded acronyms/loanwords — native review required,Alle Branchen entdecken,Explorer tous les secteurs,Explorar todas las industrias,Explorar todos os setores,Изучить все отрасли,探索全部行业,استكشف جميع القطاعات,carry-forward-review,needs-review
27,Industries gateway,IndustriesGatewaySection.tsx,link,Read B2B & B2C industry insights,Auto-expanded acronyms/loanwords — native review required,Geschäftskunden- & Privatkunden-Brancheninsights lesen,Lire les insights entreprises & consommateurs,Leer insights empresarial y consumo,Ler insights corporativo e consumo,Читать отраслевую аналитику корпоратив и потребитель,阅读 企业 与 消费者 行业洞察,اقرأ رؤى قطاعات الشركات و المستهلكين,auto-revised,needs-review
28,Industries gateway,IndustriesGatewaySection.tsx,link_template,Explore {segment},Auto-expanded acronyms/loanwords — native review required,Entdecken: {segment},Explorer {segment},Explorar {segment},Explorar {segment},Изучить {segment},探索 {segment},استكشف {segment},carry-forward-review,needs-review
29,Industries gateway,bionixusIndustrySegments.ts,pharma_label,Pharma & Healthcare,Auto-expanded acronyms/loanwords — native review required,Pharmaindustrie & Gesundheitswesen,industrie pharmaceutique & santé,Farma y sanidad,Farma e saúde,Фарма и здравоохранение,医药与健康,الأدوية والرعاية الصحية,auto-revised,needs-review
30,Industries gateway,bionixusIndustrySegments.ts,pharma_tagline,Where BioNixus was built — and still leads.,Auto-expanded acronyms/loanwords — native review required,Wo BioNixus entstand — und weiterhin führt.,Là où BioNixus a été fondée — et où elle reste leader.,Donde nació BioNixus — y donde sigue liderando.,Onde a BioNixus nasceu — e ainda lidera.,Где BioNixus была создана — и где по-прежнему лидирует.,BioNixus 创立并持续领先之处。,حيث تأسست بيونكسس — وما زالت تقود.,carry-forward-review,needs-review
31,Industries gateway,bionixusIndustrySegments.ts,b2b_label,B2B Industries,Auto-expanded acronyms/loanwords — native review required,Geschäftskunden-Branchen,Secteurs entreprises,Industrias empresarial,Setores corporativo,корпоратив-отрасли,企业 行业,قطاعات الشركات,auto-revised,needs-review
32,Industries gateway,bionixusIndustrySegments.ts,b2b_tagline,"Enterprise, institutional, and infrastructure markets.",Auto-expanded acronyms/loanwords — native review required,"Unternehmens-, institutionelle und Infrastrukturmärkte.","Marchés entreprises, institutionnels et infrastructures.","Mercados empresariales, institucionales e infraestructura.","Mercados empresariais, institucionais e de infraestrutura.","Корпоративные, институциональные рынки и инфраструктура.",企业、机构与基础设施市场。,أسواق المؤسسات والبنية التحتية.,carry-forward-review,needs-review
33,Industries gateway,bionixusIndustrySegments.ts,b2c_label,B2C Industries,Auto-expanded acronyms/loanwords — native review required,Privatkunden-Branchen,Secteurs consommateurs,Industrias consumo,Setores consumo,потребитель-отрасли,消费者 行业,قطاعات المستهلكين,auto-revised,needs-review
34,Industries gateway,bionixusIndustrySegments.ts,b2c_tagline,"Consumer demand, brands, and the shopper journey.",Auto-expanded acronyms/loanwords — native review required,"Verbrauchernachfrage, Marken und Shopper Journey.","Demande consommateur, marques et parcours d'achat.","Demanda del consumidor, marcas y recorrido del comprador.","Demanda do consumidor, marcas e jornada do comprador.","Спрос потребителей, бренды и путь покупателя.",消费需求、品牌与购物路径。,الطلب الاستهلاكي والعلامات ورحلة المشتري.,carry-forward-review,needs-review
35,Pathways section,HomePathwaysSection.tsx,h2,Healthcare Research Pathways,Auto-expanded acronyms/loanwords — native review required,Gesundheitswesen-Forschungspfade,Parcours de recherche santé,Rutas de investigación sanitaria,Rotas de pesquisa em saúde,Направления исследований в здравоохранении,医疗健康研究路径,مسارات أبحاث الرعاية الصحية,auto-revised,needs-review
36,Pathways section,HomePathwaysSection.tsx,intro,"BioNixus runs healthcare market research globally — with country-level depth across the Americas, Europe, and the Middle East. Use these healthcare market research pathways for launch, market access, and growth. Compare methods in our market research hub.",Auto-expanded acronyms/loanwords — native review required,"BioNixus führt Gesundheitsmarktforschung weltweit durch — mit Länder-Tiefe in Amerika, Europa und Naher Osten. Nutzen Sie diese Pfade für Markteinführung, Marktzugang und Wachstum. Methoden vergleichen Sie in unserem Marktforschungs-Übersichtsbereich.","BioNixus mène des études de marché santé dans le monde — avec une profondeur pays en Amériques, Europe et Moyen-Orient. Utilisez ces parcours pour lancement, accès marché et croissance. Comparez les méthodes dans notre hub.","BioNixus ejecuta investigación de mercado sanitario a nivel global — con profundidad por país en Américas, Europa y Oriente Medio. Use estas rutas para lanzamiento, acceso y crecimiento. Compare métodos en nuestro hub.","A BioNixus conduz pesquisa de mercado em saúde globalmente — com profundidade por país nas Américas, Europa e Oriente Médio. Use estas rotas para lançamento, acesso e crescimento. Compare métodos no nosso hub.","BioNixus проводит исследования рынка здравоохранения по всему миру — с глубиной на уровне стран в Америке, Европе и на Ближнем Востоке. Используйте эти маршруты для запуска, доступа и роста. Сравните методы в нашем хабе.",BioNixus 在全球开展医疗健康市场研究 — 在美洲、欧洲与中东具备国家级深度。使用这些路径支持上市、准入与增长。请在我们的市场研究枢纽中比较方法。,تنفّذ بيونكسس أبحاث السوق الصحي عالمياً — بعمق على مستوى الدولة عبر الأمريكتين وأوروبا والشرق الأوسط. استخدم هذه المسارات للإطلاق والوصول والنمو. قارن المنهجيات في مركز أبحاث السوق.,auto-revised,needs-review
37,Pathways section,HomePathwaysSection.tsx,summary,More research pathways,Auto-expanded acronyms/loanwords — native review required,Weitere Forschungspfade,Plus de parcours de recherche,Más rutas de investigación,Mais rotas de pesquisa,Другие направления исследований,更多研究路径,مسارات بحث إضافية,carry-forward-review,needs-review
38,Pathways section,HomePathwaysSection.tsx,summary_count,{N} links,Auto-expanded acronyms/loanwords — native review required,{N} Links,{N} liens,{N} enlaces,{N} links,{N} ссылок,{N} 个链接,{N} روابط,carry-forward-review,needs-review
39,Pathway card 1,Index.tsx,title,Healthcare Market Research,Auto-expanded acronyms/loanwords — native review required,Gesundheitsmarktforschung,Études de marché santé,Investigación de mercado sanitario,Pesquisa de mercado em saúde,Исследования рынка здравоохранения,医疗健康市场研究,أبحاث السوق الصحي,carry-forward-review,needs-review
40,Pathway card 1,Index.tsx,description,"Decision-ready healthcare market research programs for pharmaceutical teams — globally, with deep execution in Europe, the Americas, and the Middle East.",Auto-expanded acronyms/loanwords — native review required,"Entscheidungsreife Gesundheitsmarktforschung für Pharmaindustrie-Teams — global, mit starker Umsetzung in Europa, Amerika und Nahem Osten.","Programmes d'études de marché santé prêts à la décision pour équipes industrie pharmaceutique — mondialement, avec exécution approfondie en Europe, Amériques et Moyen-Orient.","Programas de investigación sanitaria listos para decisiones — globalmente, con ejecución profunda en Europa, Américas y Oriente Medio.","Programas de pesquisa em saúde prontos para decisão — globalmente, com execução profunda na Europa, Américas e Oriente Médio.","Готовые к решениям программы исследований для фармкоманд — глобально, с глубоким исполнением в Европе, Америке и на Ближнем Востоке.",为制药团队提供可决策的医疗健康市场研究 — 全球覆盖，在欧洲、美洲与中东深度执行。,برامج أبحاث سوق صحي جاهزة للقرار — عالمياً، بتنفيذ عميق في أوروبا والأمريكتين والشرق الأوسط.,auto-revised,needs-review
41,Pathway card 2,Index.tsx,title,Saudi Arabia Pharmaceutical Research,Auto-expanded acronyms/loanwords — native review required,Pharmaindustriezeutische Forschung Saudi-Arabien,Recherche industrie pharmaceutiqueceutique Arabie saoudite,Investigación farmacéutica Arabia Saudí,Pesquisa farmacêutica Arábia Saudita,Фармацевтические исследования в Саудовской Аравии,沙特阿拉伯医药研究,أبحاث الأدوية في السعودية,auto-revised,needs-review
42,Pathway card 2,Index.tsx,label,Country-Level Depth,Auto-expanded acronyms/loanwords — native review required,Länder-Tiefe,Profondeur pays,Profundidad por país,Profundidade por país,Глубина на уровне страны,国家级深度,عمق على مستوى الدولة,carry-forward-review,needs-review
43,Pathway card 2,Index.tsx,description,"FDA-aligned pharmaceutical and healthcare market research intelligence for launch, access, and growth in KSA.",Auto-expanded acronyms/loanwords — native review required,"saudi-arabische Arzneimittelbehörde-ausgerichtete Pharmaindustrie- und Gesundheitsmarkt-Marktinformationen für Markteinführung, Zugang und Wachstum in Saudi-Arabien.","information marché industrie pharmaceutique et santé alignée FDA pour lancement, accès et croissance en Arabie saoudite.","Inteligencia farmacéutica y sanitaria alineada con FDA para lanzamiento, acceso y crecimiento en Arabia Saudí.","Inteligência farmacêutica e de saúde alinhada à FDA para lançamento, acesso e crescimento na Arábia Saudita.","Фарма- и медицинская аналитика в соответствии с FDA для запуска, доступа и роста в Саудовская Аравия.",符合 沙特食品药品管理局 框架的医药与健康市场情报，支持沙特上市、准入与增长。,ذكاء دوائي وصحي متوافق مع هيئة الغذاء والدواء السعودية للإطلاق والوصول والنمو في المملكة.,auto-revised,needs-review
44,Pathway card 2,Index.tsx,hint,Best for country-level execution,Auto-expanded acronyms/loanwords — native review required,Ideal für länderbezogene Umsetzung,Idéal pour exécution au niveau pays,Ideal para ejecución por país,Ideal para execução por país,Лучше для исполнения на уровне страны,最适合国家级执行,الأفضل للتنفيذ على مستوى الدولة,carry-forward-review,needs-review
45,Pathway card 3,Index.tsx,title,UAE Pharmaceutical Market Research,Auto-expanded acronyms/loanwords — native review required,Pharmaindustriemarktforschung Vereinigte Arabische Emirate,Études industrie pharmaceutique EAU,Investigación farmacéutica EAU,Pesquisa farmacêutica EAU,Фармацевтические исследования в ОАЭ,阿联酋医药市场研究,أبحاث السوق الدوائي في الإمارات,auto-revised,needs-review
46,Pathway card 3,Index.tsx,label,UAE Priority,Auto-expanded acronyms/loanwords — native review required,Vereinigte Arabische Emirate-Priorität,Priorité EAU,Prioridad EAU,Prioridade EAU,Приоритет ОАЭ,阿联酋优先,أولوية الإمارات,auto-revised,needs-review
47,Pathway card 3,Index.tsx,description,"Dubai and Abu Dhabi healthcare intelligence for drug development, market access, and quantitative and qualitative research across the Emirates.",Auto-expanded acronyms/loanwords — native review required,"Gesundheits-Marktinformationen für Dubai und Abu Dhabi: Arzneimittelentwicklung, Marktzugang sowie quantitative und qualitative Forschung in den Emiraten.","information marché santé Dubaï et Abu Dhabi pour développement, accès marché et recherche quantitative et qualitative aux Émirats.","Inteligencia sanitaria Dubái y Abu Dabi para desarrollo, acceso y investigación cuantitativa y cualitativa en los Emiratos.","Inteligência em saúde Dubai e Abu Dhabi para desenvolvimento, acesso e pesquisa quantitativa e qualitativa nos Emirados.","Медицинская аналитика Дубая и Абу-Даби для разработки, доступа и количественных/качественных исследований в Эмиратах.",迪拜与阿布扎比医疗情报 — 药物开发、市场准入及阿联酋全境定量与定性研究。,ذكاء صحي في دبي وأبوظبي للتطوير والوصول والبحث الكمي والنوعي عبر الإمارات.,auto-revised,needs-review
48,Pathway card 3,Index.tsx,hint,Best for UAE launch and access execution,Auto-expanded acronyms/loanwords — native review required,Ideal für Markteinführung- und Marktzugang-Umsetzung in den Vereinigte Arabische Emirate,Idéal pour lancement et accès aux EAU,Ideal para lanzamiento y acceso en EAU,Ideal para lançamento e acesso nos EAU,Лучше для запуска и доступа в ОАЭ,最适合阿联酋上市与准入执行,الأفضل لإطلاق ووصول الإمارات,auto-revised,needs-review
49,Pathway card 4,Index.tsx,title,Middle East Pharmaceutical Market Research,Auto-expanded acronyms/loanwords — native review required,Pharmaindustriemarktforschung Naher Osten,Études industrie pharmaceutique Moyen-Orient,Investigación farmacéutica Oriente Medio,Pesquisa farmacêutica Oriente Médio,Фармацевтические исследования на Ближнем Востоке,中东医药市场研究,أبحاث السوق الدوائي في الشرق الأوسط,auto-revised,needs-review
50,Pathway card 4,Index.tsx,label,GCC Priority,Expand GCC,Priorität Golf-Kooperationsrat,Priorité Conseil de coopération du Golfe,Prioridad Consejo de Cooperación del Golfo,Prioridade Conselho de Cooperação do Golfo,Приоритет Совета сотрудничества стран Залива,海湾合作委员会优先,أولوية مجلس التعاون الخليجي,revised-full-native,revised-full-native
